row.names,rdays,Ta.c,W.c,GR.c,HC.c,Ta.f,W.f,GR.f,HC.f,Ta.VEKS.o,ds.jdate,ds.hh,ds.dow,ds.tod,ds.diy,ds.wiy,jdate,hh
1,0,14.1,2.4,0,259.7,14.1,2.4,0,259.7,16.8,12965,2,6,2,182,26,12965,1
2,0.0416666666660603,14,2.4,0,256.5,14,2.4,0,256.5,16.5,12965,3,6,2,182,26,12965,2
3,0.0833333333321207,13.7,2.5,0,263.3,13.7,2.5,0,263.3,16,12965,4,6,2,182,26,12965,3
4,0.125,13.7,2.4,6,298.1,13.7,2.4,6,298.1,14.9,12965,5,6,2,182,26,12965,4
5,0.16666666666606,12.7,2.9,50,312.1,12.7,2.9,50,312.1,14.6,12965,6,6,2,182,26,12965,5
6,0.208333333332121,12.7,2.4,97,320.1,12.7,2.4,97,320.1,15.4,12965,7,6,2,182,26,12965,6
7,0.25,13.3,3.8,185,323.9,13.3,3.8,185,323.9,16,12965,8,6,2,182,26,12965,7
8,0.29166666666606,14.1,4.2,371,346.5,14.1,4.2,371,346.5,16.8,12965,9,6,2,182,26,12965,8
9,0.333333333332121,14.4,3.9,356,359.7,14.4,3.9,356,359.7,18.5,12965,10,6,2,182,26,12965,9
10,0.375,15.7,4.2,592,356.5,15.7,4.2,592,356.5,20.2,12965,11,6,2,182,26,12965,10
11,0.41666666666606,16.5,4.7,581,330.2,16.5,4.7,581,330.2,19.9,12965,12,6,2,182,26,12965,11
12,0.458333333332121,16.3,4.8,685,323.3,16.3,4.8,685,323.3,19.9,12965,13,6,2,182,26,12965,12
13,0.5,16.4,4.9,788,320.1,16.4,4.9,788,320.1,19.9,12965,14,6,2,182,26,12965,13
14,0.54166666666606,16.3,4.7,706,301.7,16.3,4.7,706,301.7,20.5,12965,15,6,2,182,26,12965,14
15,0.583333333332121,16.1,4.3,656,297.6,16.1,4.3,656,297.6,19.9,12965,16,6,2,182,26,12965,15
16,0.625,16.1,4,538,309.6,16.1,4,538,309.6,19.6,12965,17,6,2,182,26,12965,16
17,0.66666666666606,16.2,3.7,439,304.2,16.2,3.7,439,304.2,19.3,12965,18,6,2,182,26,12965,17
18,0.708333333332121,15.8,3.5,337,309.1,15.8,3.5,337,309.1,18.5,12965,19,6,2,182,26,12965,18
19,0.75,15.5,3.3,208,308.4,15.5,3.3,208,308.4,17.9,12965,20,6,2,182,26,12965,19
20,0.79166666666606,14.6,2.5,84,320.4,14.6,2.5,84,320.4,16,12965,21,6,2,182,26,12965,20
21,0.833333333332121,13,1.4,16,317.8,13,1.4,16,317.8,14.3,12965,22,6,2,182,26,12965,21
22,0.875,11.6,0.7,-3,323.5,11.6,0.7,-3,323.5,13.5,12965,23,6,2,182,26,12965,22
23,0.91666666666606,9.9,0.5,-4,317.7,9.9,0.5,-4,317.7,12.6,12966,0,7,3,183,26,12965,23
24,0.958333333332121,9.4,0.4,-3,316.9,9.4,0.4,-3,316.9,11.2,12966,1,7,3,183,26,12966,0
25,1,9.1,0.8,-3,322.2,9.1,0.8,-3,322.2,10.7,12966,2,7,3,183,26,12966,1
26,1.04166666666606,9.1,0.8,-3,320.6,9.1,0.8,-3,320.6,10.4,12966,3,7,3,183,26,12966,2
27,1.08333333333212,8.6,0.6,-3,343,8.6,0.6,-3,343,11.2,12966,4,7,3,183,26,12966,3
28,1.125,8.2,0.8,2,357.1,8.2,0.8,2,357.1,11.5,12966,5,7,3,183,26,12966,4
29,1.16666666666606,8.3,0.7,46,335.3,8.3,0.7,46,335.3,14.3,12966,6,7,3,183,26,12966,5
30,1.20833333333212,10.2,0.7,130,303,10.2,0.7,130,303,16.3,12966,7,7,3,183,26,12966,6
31,1.25,12.8,1,256,304.7,12.8,1,256,304.7,17.7,12966,8,7,3,183,26,12966,7
32,1.29166666666606,14.7,0.8,439,317.7,14.7,0.8,439,317.7,17.7,12966,9,7,3,183,26,12966,8
33,1.33333333333212,15.7,1.5,484,332.2,15.7,1.5,484,332.2,17.7,12966,10,7,3,183,26,12966,9
34,1.375,16.3,2.1,642,344,16.3,2.1,642,344,17.9,12966,11,7,3,183,26,12966,10
35,1.41666666666606,16.9,2.5,762,336.3,16.9,2.5,762,336.3,19.3,12966,12,7,3,183,26,12966,11
36,1.45833333333212,17.1,3.3,840,325.4,17.1,3.3,840,325.4,19.6,12966,13,7,3,183,26,12966,12
37,1.5,17.2,3.6,851,302.9,17.2,3.6,851,302.9,20.2,12966,14,7,3,183,26,12966,13
38,1.54166666666606,17.6,3.6,816,297.8,17.6,3.6,816,297.8,20.2,12966,15,7,3,183,26,12966,14
39,1.58333333333212,17.4,3.8,741,285.5,17.4,3.8,741,285.5,19.9,12966,16,7,3,183,26,12966,15
40,1.625,17.1,4.2,627,294.7,17.1,4.2,627,294.7,19.3,12966,17,7,3,183,26,12966,16
41,1.66666666666606,16.8,3.9,510,309.3,16.8,3.9,510,309.3,18.8,12966,18,7,3,183,26,12966,17
42,1.70833333333212,16.5,3.8,360,310.9,16.5,3.8,360,310.9,18.5,12966,19,7,3,183,26,12966,18
43,1.75,16.3,3.1,207,309.9,16.3,3.1,207,309.9,17.7,12966,20,7,3,183,26,12966,19
44,1.79166666666606,15.5,3.1,91,320.5,15.5,3.1,91,320.5,16.3,12966,21,7,3,183,26,12966,20
45,1.83333333333212,14.7,2.7,19,321.2,14.7,2.7,19,321.2,15.4,12966,22,7,3,183,26,12966,21
46,1.875,14,2.3,-2,302.3,14,2.3,-2,302.3,15.1,12966,23,7,3,183,26,12966,22
47,1.91666666666606,13.4,2.2,-2,285.8,13.4,2.2,-2,285.8,15.7,12967,0,1,1,184,27,12966,23
48,1.95833333333212,13.4,2.1,-2,272.8,13.4,2.1,-2,272.8,15.7,12967,1,1,1,184,27,12967,0
49,2,13.1,1.7,-2,263.8,13.1,1.7,-2,263.8,15.7,12967,2,1,1,184,27,12967,1
50,2.04166666666606,13.4,1.7,-2,274.6,13.4,1.7,-2,274.6,15.1,12967,3,1,1,184,27,12967,2
51,2.08333333333212,14.3,1.8,-2,271.8,14.3,1.8,-2,271.8,15.1,12967,4,1,1,184,27,12967,3
52,2.125,14.4,1.5,3,302.7,14.4,1.5,3,302.7,15.1,12967,5,1,1,184,27,12967,4
53,2.16666666666606,13.9,0.7,45,324.8,13.9,0.7,45,324.8,16.5,12967,6,1,1,184,27,12967,5
54,2.20833333333212,14.6,1.1,141,330.7,14.6,1.1,141,330.7,18.5,12967,7,1,1,184,27,12967,6
55,2.25,16.6,1.8,266,313.9,16.6,1.8,266,313.9,19.6,12967,8,1,1,184,27,12967,7
56,2.29166666666606,18,2.5,324,313.2,18,2.5,324,313.2,19.6,12967,9,1,1,184,27,12967,8
57,2.33333333333212,17.2,2.5,348,311.1,17.2,2.5,348,311.1,20.2,12967,10,1,1,184,27,12967,9
58,2.375,18.2,2.4,507,296.9,18.2,2.4,507,296.9,21,12967,11,1,1,184,27,12967,10
59,2.41666666666606,19.1,2.1,634,297.4,19.1,2.1,634,297.4,22.1,12967,12,1,1,184,27,12967,11
60,2.45833333333212,19.8,2.6,812,285.3,19.8,2.6,812,285.3,22.4,12967,13,1,1,184,27,12967,12
61,2.5,19.8,3,808,277.3,19.8,3,808,277.3,22.1,12967,14,1,1,184,27,12967,13
62,2.54166666666606,19.8,3.1,702,282.4,19.8,3.1,702,282.4,20.7,12967,15,1,1,184,27,12967,14
63,2.58333333333212,18.7,2.3,298,287.5,18.7,2.3,298,287.5,19.6,12967,16,1,1,184,27,12967,15
64,2.625,16.7,3,104,309.3,16.7,3,104,309.3,18.8,12967,17,1,1,184,27,12967,16
65,2.66666666666606,15.7,3.4,148,329.8,15.7,3.4,148,329.8,18.2,12967,18,1,1,184,27,12967,17
66,2.70833333333212,15,3,131,345.3,15,3,131,345.3,17.7,12967,19,1,1,184,27,12967,18
67,2.75,14.4,2.7,35,346.4,14.4,2.7,35,346.4,16.8,12967,20,1,1,184,27,12967,19
68,2.79166666666606,13.6,2.7,7,354.2,13.6,2.7,7,354.2,14.6,12967,21,1,1,184,27,12967,20
69,2.83333333333212,12,2.9,1,370.9,12,2.9,1,370.9,14.3,12967,22,1,1,184,27,12967,21
