,Horizon,RMSE_Reconciled,RMSE_Base,Absolute_Improvement,Percentage_Improvement
0,1,55.96320815936818,102.25579169204887,46.292583532680695,45.27135604415869
1,2,69.18905952697796,144.43594897385836,75.2468894468804,52.09706446453952
2,3,71.52398007887848,170.57294062621935,99.04896054734087,58.06839008796201
3,4,62.64347516666141,191.99433993952545,129.35086477286404,67.37222816756322
4,5,60.593892465148336,205.92146669517035,145.327574230022,70.57427113471046
5,6,67.98714283252785,215.0160041197207,147.02886128719285,68.38042679154587
6,7,80.21708569256565,214.15648329762274,133.93939760505708,62.54277038109352
7,8,84.22540325557047,217.81179654297932,133.58639328740884,61.33111034739073
8,9,79.95031228170657,213.42805806038166,133.4777457786751,62.539924221637456
9,10,86.53272446153301,211.61905057251676,125.08632611098375,59.10919918248082
10,11,96.66094004231441,209.98944946617206,113.32850942385765,53.96866828879141
11,12,100.52670613566113,214.30823615226137,113.78153001660024,53.09246721426092
12,13,105.55774755759242,214.34708808350908,108.78934052591666,50.75382245618966
13,14,106.83010855893991,222.12257544700952,115.29246688806961,51.904884794375285
14,15,103.57092438948953,226.02772301285566,122.45679862336613,54.177778279172074
15,16,99.15596748492824,227.79105997509996,128.6350924901717,56.4706501230702
16,17,104.09426896673205,218.1593511256971,114.06508215896505,52.285213340795124
17,18,102.37288464602835,220.78570413320463,118.41281948717628,53.632466808510095
18,19,110.0929986489765,209.76854878979492,99.67555014081842,47.516918392137704
19,20,106.9205820212553,201.95675176067653,95.03616973942123,47.05768384116284
20,21,107.18057324170543,186.13004254609223,78.9494693043868,42.41629573841428
21,22,115.90456339591591,180.2266062497922,64.3220428538763,35.68953785032528
22,23,114.93260662421488,170.7531899177462,55.820583293531314,32.69079969775132
23,24,119.80953969585565,173.27874667770115,53.4692069818455,30.857337098183397
24,25,127.26878665659666,191.692068736437,64.42328207984033,33.60769305923542
25,26,132.76165310581294,212.07149786841077,79.30984476259783,37.39769160861455
26,27,124.54259496333061,224.2095212268379,99.66692626350728,44.452584224856345
27,28,126.51221614901284,239.68721517690258,113.17499902788974,47.21778712492456
28,29,115.91989053416704,251.1863768377863,135.26648630361927,53.85104399629645
29,30,117.77626822832549,257.8750037817986,140.09873555347315,54.328156470728715
30,31,112.4046443295728,261.3431369430018,148.938492613429,56.989632234311195
31,32,117.13492325721391,259.53270870039626,142.39778544318233,54.86699004385065
32,33,119.09245894839299,256.1962881197141,137.1038291713211,53.51515050337339
33,34,115.35905120366698,256.6382358457729,141.27918464210592,55.04993602239685
34,35,115.67821975893624,260.0833715378462,144.40515177890995,55.52263911570247
35,36,113.86834369117203,261.02728821391054,147.15894452273852,56.37684302268907
36,37,120.02945305092989,263.4275042875381,143.39805123660824,54.43548942409805
37,38,120.6933691753446,268.98073596731194,148.28736679196734,55.12936317119307
38,39,121.58459131787936,271.1197582348804,149.53516691700105,55.154654861949815
39,40,125.61117429431587,279.1009420407647,153.48976774644885,54.99435674567897
40,41,133.44294018810066,277.81853409828113,144.37559391018047,51.96758897990086
41,42,136.08960442880087,271.20258111931315,135.11297669051228,49.819944977245825
42,43,133.31127159802085,270.20470217065,136.89343057262917,50.662860221497176
43,44,134.99802606250032,259.7661240805222,124.7680980180219,48.03093492642879
44,45,134.37544844278435,250.41344504986228,116.03799660707793,46.338564841824876
45,46,136.7098042990162,245.26269824818303,108.55289394916682,44.25984657451717
46,47,141.08630744848122,246.3821008562199,105.29579340773867,42.73678690205895
47,48,142.7897553894971,246.1015112774883,103.31175588799121,41.97932607228222
