Horizon,RMSE_Reconciled,RMSE_Base,Absolute_Improvement,Percentage_Improvement
1,47.640596060241194,53.304486877681256,5.663890817440063,10.625542330868116
2,69.82789643834225,88.97846261805647,19.150566179714218,21.52269843312395
3,79.87458532341876,117.32187173203292,37.44728640861416,31.918418838513773
4,81.07316439788191,140.4216901529224,59.348525755040484,42.264500370568534
5,76.46379390907596,158.73172823828463,82.26793432920867,51.82828615442896
6,69.1462637630033,171.12829289239147,101.98202912938817,59.593903150495564
7,63.40061823619818,176.16217996994448,112.7615617337463,64.01008533896713
8,64.00793800777915,174.79012059780717,110.78218259002803,63.38011680015847
9,72.34951713822416,168.29454574142713,95.94502860320297,57.010183057635054
10,83.69197497053386,160.7141548804566,77.02217990992273,47.92495095855984
11,92.84739059640843,154.99953080475638,62.152140208347944,40.09827635326024
12,97.85596374811294,154.60536407548497,56.74940032737203,36.705971145777674
13,98.36133351045679,160.76687483227678,62.405541321819996,38.81741272070245
14,96.21627030353453,170.43290818381527,74.21663788028074,43.5459552214157
15,91.87919465622011,179.56119646508498,87.68200180886487,48.83126395624921
16,85.29394847623357,185.74380162225842,100.44985314602485,54.079787464621134
17,78.0880599157778,188.15314235208672,110.06508243630891,58.49760522752611
18,73.04918804052366,186.6153286680531,113.56614062752945,60.85574075725483
19,72.3153775345205,182.59893113442425,110.28355359990375,60.39660413932877
20,76.50723764526262,177.6271790605614,101.11994141529877,56.928191929919834
21,83.54638371148646,173.170340762328,89.62395705084155,51.75479626378296
22,90.2625861015418,170.39210463721022,80.12951853566842,47.02654427931148
23,94.58720482878199,170.02858175757925,75.44137692879725,44.36982073776214
24,97.90571194037337,171.23482970691143,73.32911776653806,42.823716350259744
25,99.79876703304954,174.84429740645734,75.0455303734078,42.92134858648025
26,102.96437812991348,181.7429662475721,78.77858811765861,43.34615514657422
27,106.66982284519825,191.3890058855232,84.71918304032495,44.265438679899205
28,108.22763634188925,202.36423744541966,94.13660110353041,46.518397861143974
29,107.33089672294327,213.26094635589575,105.93004963295249,49.67156502071106
30,104.80449826007938,222.55867908661884,117.75418082653945,52.90927377436044
31,100.05912001095966,227.90164774989012,127.84252773893046,56.09548197704599
32,96.74800618808189,229.17146480599484,132.42345861791296,57.78357210834083
33,95.98549752156752,227.37182271386553,131.386325192298,57.784787764858706
34,96.66900391393591,224.6450417370769,127.97603782314098,56.96811148537314
35,98.52569595273508,222.33509635998496,123.80940040724988,55.68594541942621
36,100.88399358408442,222.44250537021344,121.55851178612902,54.647159985821006
37,104.38803108904219,224.49417073219,120.10613964314783,53.500783228099166
38,107.93425406857772,227.53625972103353,119.60200565245582,52.56393235921675
39,109.89681975109517,231.2198705596023,121.32305080850713,52.47085837167844
40,108.62474225586286,234.5898161834152,125.96507392755234,53.69588329830394
41,105.04713830802736,237.4940822546987,132.44694394667135,55.768523867735645
42,101.22098282209873,238.8098947115729,137.58891188947416,57.61441001247027
43,99.05501711812973,238.86719270457004,139.81217558644033,58.531342878617686
44,99.81835392129571,238.2465245251642,138.4281706038685,58.10291288813632
45,103.30162348845536,239.47624983398586,136.1746263455305,56.86352047016436
46,107.60114412691684,238.25188958600063,130.6507454590838,54.837233688307606
47,111.37859044478148,235.39751151128627,124.01892106650479,52.68489045202104
48,116.35069979211406,231.32420093368384,114.97350114156978,49.70232283414672
